"px-3","px-3 2","font-semibold","text-[10px]","font-semibold 2","text-[10px] 2","font-semibold 3","text-[10px] 3","font-semibold 4","text-[10px] 4","font-semibold 5","text-[10px] 5","text-gray-400 href"
"2878","Barreau de 16 ep 1,4 mm","30.325","36.087","30.325","36.087","30.325","36.087","30.325","36.087","30.325","36.087","https://atelierpro.vortech-x.com/articles/407153/edit"
"2984","Main courante 50 ep 1,8 mm","132.521","157.700","132.521","157.700","132.521","157.700","132.521","157.700","132.521","157.700","https://atelierpro.vortech-x.com/articles/407151/edit"
"40100","Dormant ""Z"" simple tubulaire","110.767","131.813","129.732","154.381","134.007","159.468","135.658","161.433","138.494","164.808","https://atelierpro.vortech-x.com/articles/406835/edit"
"40102","Dormant ""L"" simple tubulaire","90.278","107.431","108.376","128.967","111.837","133.086","116.577","138.727","118.947","141.547","https://atelierpro.vortech-x.com/articles/407123/edit"
"40104","Traverse intérmediaire 86mm","148.967","177.271","163.933","195.080","169.618","201.845","177.395","211.100","181.284","215.728","https://atelierpro.vortech-x.com/articles/407124/edit"
"40107","Tringle","23.344","27.779","24.363","28.992","25.122","29.895","26.162","31.133","26.681","31.750","https://atelierpro.vortech-x.com/articles/406250/edit"
"40108","Rejet d'eau 40E","22.468","26.737","23.705","28.209","24.444","29.088","25.455","30.291","25.960","30.892","https://atelierpro.vortech-x.com/articles/406255/edit"
"40110","Parclose droite F=18mm","41.457","49.334","43.130","51.325","44.474","52.924","46.313","55.112","47.233","56.207","https://atelierpro.vortech-x.com/articles/407657/edit"
"40111","Paraclose droite F=18mm","41.457","49.334","43.130","51.325","44.474","52.924","46.313","55.112","47.233","56.207","https://atelierpro.vortech-x.com/articles/407157/edit"
"40112","Battement central 40S Battement basculant","95.908","114.131","111.159","132.279","114.734","136.533","119.615","142.342","122.058","145.249","https://atelierpro.vortech-x.com/articles/406260/edit"
"40121","Traverse intérmediaire 150mm","227.081","270.226","255.960","304.592","264.834","315.152","276.980","329.606","283.052","336.832","https://atelierpro.vortech-x.com/articles/406836/edit"
"40123","Cache traverse supérieure pour porte va et vient","35.603","42.368","37.038","44.075","38.191","45.447","39.772","47.329","40.562","48.269","https://atelierpro.vortech-x.com/articles/406712/edit"
"40129","Parclose droite F=32mm","35.449","42.184","36.874","43.880","38.027","45.252","39.596","47.119","40.382","48.055","https://atelierpro.vortech-x.com/articles/407663/edit"
"40133","Porte joint","34.968","41.612","36.380","43.292","37.515","44.643","39.066","46.489","39.841","47.411","https://atelierpro.vortech-x.com/articles/406270/edit"
"40135","Parclose arrondie F=24mm","32.338","38.482","37.343","44.438","38.505","45.821","40.100","47.719","40.896","48.666","https://atelierpro.vortech-x.com/articles/406837/edit"
"40139","Parclose droite F=12mm","41.701","49.624","45.435","54.068","46.850","55.752","48.788","58.058","49.757","59.211","https://atelierpro.vortech-x.com/articles/407125/edit"
"40148","Dormant ""T” simple tubulaire Ouvrant à l'éxtérieur simple tubulaire","102.697","122.209","120.122","142.945","124.080","147.655","129.494","154.098","132.201","157.319","https://atelierpro.vortech-x.com/articles/407126/edit"
"40149","Dormant ""L” double tubulaire Ouvrant porte va et vient","104.994","124.943","120.987","143.975","124.973","148.718","130.426","155.207","133.153","158.452","https://atelierpro.vortech-x.com/articles/407127/edit"
"40150","Dormant ""Z” double tubulaire Ouvrant ”Z"" double tubulaire","134.065","159.537","153.404","182.551","158.459","188.566","165.373","196.794","168.830","200.908","https://atelierpro.vortech-x.com/articles/406838/edit"
"40151","Ouvrant Série 40 (équivalent 40150)","136.907","162.919","155.118","184.590","160.227","190.670","167.220","198.992","170.716","203.152","https://atelierpro.vortech-x.com/articles/407583/edit"
"40154","Socle 142mm pour fixe ou ouvrant","227.327","270.519","255.219","303.711","264.069","314.242","276.179","328.653","282.234","335.858","https://atelierpro.vortech-x.com/articles/406839/edit"
"40155","Meneau","278.788","331.758","300.565","357.672","310.988","370.076","325.248","387.045","332.378","395.530","https://atelierpro.vortech-x.com/articles/407128/edit"
"40156","Meneau Traverse intermediaire renforcée","200.007","238.008","215.629","256.599","223.103","265.493","233.336","277.670","238.452","283.758","https://atelierpro.vortech-x.com/articles/407129/edit"
"40165","Dormant Série 40","115.190","137.076","125.331","149.144","129.486","154.088","135.824","161.631","137.999","164.219","https://atelierpro.vortech-x.com/articles/407559/edit"
"40166","Parclose arrondie F=12mm","36.873","43.879","39.173","46.616","40.398","48.074","42.064","50.056","42.899","51.050","https://atelierpro.vortech-x.com/articles/406290/edit"
"40168","Parclose arrondie F=18mm","38.619","45.957","40.166","47.798","41.420","49.290","43.131","51.326","43.987","52.345","https://atelierpro.vortech-x.com/articles/407669/edit"
"40401","Ouvrant Série 40","131.300","156.247","140.634","167.354","145.266","172.867","151.605","180.410","154.775","184.182","https://atelierpro.vortech-x.com/articles/407571/edit"
"40402","Dormant ""Z"" simple tubulaire 35mm avec couvre joint arrondi","113.081","134.566","132.380","157.532","136.740","162.721","142.707","169.821","145.691","173.372","https://atelierpro.vortech-x.com/articles/406840/edit"
