"px-3","px-3 2","font-semibold","text-[10px]","font-semibold 2","text-[10px] 2","font-semibold 3","text-[10px] 3","font-semibold 4","text-[10px] 4","font-semibold 5","text-[10px] 5","text-gray-400 href"
"AE_40100","Dormant ""Z"" simple tubulaire","94.152","112.041","110.272","131.224","113.906","135.548","115.309","137.218","117.720","140.087","https://atelierpro.vortech-x.com/articles/407382/edit"
"AE_40102","Dormant ""L"" simple tubulaire","76.736","91.316","92.120","109.623","95.061","113.123","99.090","117.917","101.105","120.315","https://atelierpro.vortech-x.com/articles/407422/edit"
"AE_40104","Traverse intérmediaire 86mm","126.622","150.680","139.343","165.818","144.175","171.568","150.786","179.435","154.091","183.368","https://atelierpro.vortech-x.com/articles/407423/edit"
"AE_40107","Tringle","19.842","23.612","20.709","24.644","21.354","25.411","22.238","26.463","22.679","26.988","https://atelierpro.vortech-x.com/articles/407217/edit"
"AE_40108","Rejet d'eau 40E","19.098","22.727","20.149","23.977","20.777","24.725","21.637","25.748","22.066","26.259","https://atelierpro.vortech-x.com/articles/407222/edit"
"AE_40111","Paraclose droite F=18mm","35.238","41.933","36.661","43.627","37.803","44.986","39.366","46.846","40.148","47.776","https://atelierpro.vortech-x.com/articles/407429/edit"
"AE_40112","Battement central 40S Battement basculant","81.522","97.011","94.485","112.437","97.524","116.054","101.673","120.991","103.749","123.461","https://atelierpro.vortech-x.com/articles/407227/edit"
"AE_40121","Traverse intérmediaire 150mm","193.019","229.693","217.566","258.904","225.109","267.880","235.433","280.165","240.594","286.307","https://atelierpro.vortech-x.com/articles/407383/edit"
"AE_40133","Porte joint","29.723","35.370","30.923","36.798","31.888","37.947","33.206","39.515","33.865","40.299","https://atelierpro.vortech-x.com/articles/407237/edit"
"AE_40139","Parclose droite F=12mm","35.446","42.181","38.620","45.958","39.823","47.389","41.470","49.349","42.293","50.329","https://atelierpro.vortech-x.com/articles/407424/edit"
"AE_40150","Dormant ""Z” double tubulaire Ouvrant ”Z"" double tubulaire","113.955","135.606","130.393","155.168","134.690","160.281","140.567","167.275","143.506","170.772","https://atelierpro.vortech-x.com/articles/407384/edit"
"AE_40154","Socle 142mm pour fixe ou ouvrant","193.228","229.941","216.936","258.154","224.459","267.106","234.752","279.355","239.899","285.480","https://atelierpro.vortech-x.com/articles/407385/edit"
"AE_40402","Dormant ""Z"" simple tubulaire 35mm avec couvre joint arrondi","96.119","114.382","112.523","133.902","116.229","138.313","121.301","144.348","123.837","147.366","https://atelierpro.vortech-x.com/articles/407386/edit"
"AE_67101","Dormant (2Rails) sans couvre joint","103.005","122.576","123.774","147.291","127.854","152.146","133.431","158.783","136.221","162.103","https://atelierpro.vortech-x.com/articles/407257/edit"
"AE_67103","Dormant (2 Rails) avec couvre jont arrondi","123.892","147.431","140.975","167.760","145.867","173.582","152.555","181.540","155.899","185.520","https://atelierpro.vortech-x.com/articles/407262/edit"
"AE_67104","Montant latéral ouvrant","80.921","96.296","95.840","114.050","99.000","117.810","103.320","122.951","105.480","125.521","https://atelierpro.vortech-x.com/articles/407267/edit"
"AE_67105","Montant central ouvrant","62.990","74.958","74.922","89.157","77.318","92.008","80.594","95.907","82.232","97.856","https://atelierpro.vortech-x.com/articles/407272/edit"
"AE_67106","Traverse haute et basouvrant","73.488","87.451","90.003","107.104","92.895","110.545","96.852","115.254","98.830","117.608","https://atelierpro.vortech-x.com/articles/407277/edit"
"AE_67107","Montant central renforcé ouvrant","91.090","108.397","107.768","128.244","111.177","132.301","116.164","138.235","118.592","141.124","https://atelierpro.vortech-x.com/articles/407282/edit"
"AE_67108","Montant latéral renforcé ouvrant","105.654","125.728","126.955","151.076","131.135","156.051","136.856","162.859","139.718","166.264","https://atelierpro.vortech-x.com/articles/407287/edit"
"AE_67110","Dormant trois rails avec couvre joint arrondie","191.889","228.348","206.627","245.886","213.791","254.411","223.593","266.076","228.494","271.908","https://atelierpro.vortech-x.com/articles/407454/edit"
"AE_67113","Traverse intermédiaire (Alu Eco)","133.964","159.417","137.437","163.550","142.615","169.712","149.705","178.149","153.250","182.368","https://atelierpro.vortech-x.com/articles/407777/edit"
"AE_67114","Réducteur de feuillure pour simple vitrage F=15 mm","16.384","19.497","19.589","23.311","20.199","24.037","21.035","25.032","21.453","25.529","https://atelierpro.vortech-x.com/articles/407292/edit"
"AE_67203","Dormant trois rails LD","190.210","226.350","193.545","230.319","200.253","238.301","209.440","249.234","214.032","254.698","https://atelierpro.vortech-x.com/articles/407459/edit"
"AE_80116","—","16.207","19.286","16.207","19.286","16.207","19.286","16.207","19.286","16.207","19.286","https://atelierpro.vortech-x.com/articles/407297/edit"
