"px-3","px-3 2","font-semibold","text-[10px]","font-semibold 2","text-[10px] 2","font-semibold 3","text-[10px] 3","font-semibold 5","text-[10px] 5","text-gray-400 href"
"CSQ 103","Dormant deux rails clipsable","134.680","160.269","141.414","168.283","141.414","168.283","153.229","182.343","https://atelierpro.vortech-x.com/articles/406367/edit"
"CSQ 104","Montant latéral ouvrant","107.483","127.905","112.858","134.301","112.858","134.301","122.288","145.523","https://atelierpro.vortech-x.com/articles/406372/edit"
"CSQ 105","Montant central ouvrant","76.560","91.106","84.599","100.673","84.599","100.673","91.374","108.735","https://atelierpro.vortech-x.com/articles/406377/edit"
"CSQ 106","Traverse haute et bas ouvrant","98.465","117.173","103.389","123.033","103.389","123.033","106.607","126.862","https://atelierpro.vortech-x.com/articles/406382/edit"
"CSQ 107","Montant central renforcé ouvrant","159.187","189.433","167.147","198.905","167.147","198.905","180.532","214.833","https://atelierpro.vortech-x.com/articles/406387/edit"
"CSQ 108","Montant latéral renforcé ouvrant","143.927","171.273","151.124","179.838","151.124","179.838","163.225","194.238","https://atelierpro.vortech-x.com/articles/406392/edit"
"CSQ 110","—","246.022","292.766","258.002","307.022","258.022","307.046","279.526","332.636","https://atelierpro.vortech-x.com/articles/406397/edit"
"CSQ 114","Réducteur de feuillure pour simple vitrage","24.567","29.235","25.796","30.697","25.796","30.697","27.951","33.262","https://atelierpro.vortech-x.com/articles/406402/edit"
"CSQ 116","Rail rapporté Anodn","30.613","36.429","30.613","36.429","30.613","36.429","30.613","36.429","https://atelierpro.vortech-x.com/articles/406407/edit"
"CSQ 124","—","74.882","89.110","78.626","93.565","78.626","93.565","85.199","101.387","https://atelierpro.vortech-x.com/articles/406412/edit"
"CSQ 125","—","30.284","36.038","31.798","37.840","31.798","37.840","34.456","41.003","https://atelierpro.vortech-x.com/articles/406417/edit"
"CSQ 203","—","98.059","116.690","102.962","122.525","102.962","122.525","111.569","132.767","https://atelierpro.vortech-x.com/articles/406422/edit"
"CSQ 210","—","214.245","254.952","224.957","267.699","224.957","267.699","243.763","290.078","https://atelierpro.vortech-x.com/articles/406427/edit"
"CSQ 302","Couvre joint droit déporté 35 mm à clipser","27.238","32.413","28.600","34.034","28.600","34.034","32.745","38.967","https://atelierpro.vortech-x.com/articles/406437/edit"
"FSQ 102","—","100.309","119.368","105.324","125.336","105.324","125.336","114.098","135.777","https://atelierpro.vortech-x.com/articles/407144/edit"
"FSQ 104","—","165.518","196.966","173.794","206.815","173.794","206.815","188.323","224.104","https://atelierpro.vortech-x.com/articles/407145/edit"
"FSQ 107","Tringle","19.811","23.575","20.802","24.754","20.802","24.754","31.093","37.001","https://atelierpro.vortech-x.com/articles/406623/edit"
"FSQ 108","Rejet d'eau","20.728","24.666","21.765","25.900","21.765","25.900","23.583","28.064","https://atelierpro.vortech-x.com/articles/406628/edit"
"FSQ 111","—","43.718","52.024","45.904","54.626","45.904","54.626","49.580","59.000","https://atelierpro.vortech-x.com/articles/406842/edit"
"FSQ 112","—","106.564","126.811","111.893","133.153","111.893","133.153","121.247","144.284","https://atelierpro.vortech-x.com/articles/406638/edit"
"FSQ 121","Traverse intermédiaire 130 mm","210.555","250.560","221.083","263.089","221.083","263.089","239.555","285.070","https://atelierpro.vortech-x.com/articles/406843/edit"
"FSQ 122","Porte joint traverse à clipser","41.862","49.816","43.955","52.306","43.955","52.306","47.627","56.676","https://atelierpro.vortech-x.com/articles/406648/edit"
"FSQ 139","—","46.172","54.945","48.481","57.692","48.481","57.692","52.331","62.274","https://atelierpro.vortech-x.com/articles/406845/edit"
"FSQ 401","Ouvrant simple tubulaire","125.394","149.219","131.664","156.680","131.664","156.680","142.664","169.770","https://atelierpro.vortech-x.com/articles/406663/edit"
"FSQ 402","Dormant ""Z"" simple tubulaire avec couvre joint arrondi 35 mm","125.765","149.660","132.054","157.144","132.054","157.144","143.088","170.275","https://atelierpro.vortech-x.com/articles/407150/edit"
"FSQ 403","Ouvrant double tubulaire","163.225","194.238","171.387","203.951","171.387","203.951","189.433","225.425","https://atelierpro.vortech-x.com/articles/406668/edit"
