"px-3","px-3 2","font-semibold","text-[10px]","font-semibold 2","text-[10px] 2","font-semibold 3","text-[10px] 3","font-semibold 4","text-[10px] 4","font-semibold 5","text-[10px] 5","text-gray-400 href"
"40100","Dormant ""Z"" simple tubulaire","110.767","131.813","129.732","154.381","134.007","159.468","135.658","161.433","138.494","164.808","https://atelierpro.vortech-x.com/articles/406835/edit"
"40102","Dormant ""L"" simple tubulaire","90.278","107.431","108.376","128.967","111.837","133.086","116.577","138.727","118.947","141.547","https://atelierpro.vortech-x.com/articles/407123/edit"
"40104","Traverse intérmediaire 86mm","148.967","177.271","163.933","195.080","169.618","201.845","177.395","211.100","181.284","215.728","https://atelierpro.vortech-x.com/articles/407124/edit"
"40107","Tringle","23.344","27.779","24.363","28.992","25.122","29.895","26.162","31.133","26.681","31.750","https://atelierpro.vortech-x.com/articles/406250/edit"
"40108","Rejet d'eau 40E","22.468","26.737","23.705","28.209","24.444","29.088","25.455","30.291","25.960","30.892","https://atelierpro.vortech-x.com/articles/406255/edit"
"40111","Paraclose droite F=18mm","41.457","49.334","43.130","51.325","44.474","52.924","46.313","55.112","47.233","56.207","https://atelierpro.vortech-x.com/articles/407157/edit"
"40112","Battement central 40S Battement basculant","95.908","114.131","111.159","132.279","114.734","136.533","119.615","142.342","122.058","145.249","https://atelierpro.vortech-x.com/articles/406260/edit"
"40121","Traverse intérmediaire 150mm","227.081","270.226","255.960","304.592","264.834","315.152","276.980","329.606","283.052","336.832","https://atelierpro.vortech-x.com/articles/406836/edit"
"40133","Porte joint","34.968","41.612","36.380","43.292","37.515","44.643","39.066","46.489","39.841","47.411","https://atelierpro.vortech-x.com/articles/406270/edit"
"40139","Parclose droite F=12mm","41.701","49.624","45.435","54.068","46.850","55.752","48.788","58.058","49.757","59.211","https://atelierpro.vortech-x.com/articles/407125/edit"
"40150","Dormant ""Z” double tubulaire Ouvrant ”Z"" double tubulaire","134.065","159.537","153.404","182.551","158.459","188.566","165.373","196.794","168.830","200.908","https://atelierpro.vortech-x.com/articles/406838/edit"
"40154","Socle 142mm pour fixe ou ouvrant","227.327","270.519","255.219","303.711","264.069","314.242","276.179","328.653","282.234","335.858","https://atelierpro.vortech-x.com/articles/406839/edit"
"40402","Dormant ""Z"" simple tubulaire 35mm avec couvre joint arrondi","113.081","134.566","132.380","157.532","136.740","162.721","142.707","169.821","145.691","173.372","https://atelierpro.vortech-x.com/articles/406840/edit"
"67101","Dormant (2Rails) sans couvre joint","121.182","144.207","145.617","173.284","150.416","178.995","156.978","186.804","160.260","190.709","https://atelierpro.vortech-x.com/articles/406300/edit"
"67103","Dormant (2 Rails) avec couvre jont arrondi","145.755","173.448","165.853","197.365","171.608","204.214","179.477","213.578","183.411","218.259","https://atelierpro.vortech-x.com/articles/406305/edit"
"67104","Montant latéral ouvrant","95.201","113.289","112.753","134.176","116.470","138.599","121.553","144.648","124.094","147.672","https://atelierpro.vortech-x.com/articles/406310/edit"
"67105","Montant central ouvrant","74.106","88.186","88.144","104.891","90.962","108.245","94.816","112.831","96.743","115.124","https://atelierpro.vortech-x.com/articles/406315/edit"
"67106","Traverse haute et basouvrant","86.456","102.883","105.886","126.004","109.288","130.053","113.943","135.592","116.271","138.362","https://atelierpro.vortech-x.com/articles/406320/edit"
"67107","Montant central renforcé ouvrant","107.165","127.526","126.786","150.875","130.796","155.647","136.663","162.629","139.520","166.029","https://atelierpro.vortech-x.com/articles/406325/edit"
"67108","Montant latéral renforcé ouvrant","124.299","147.916","149.359","177.737","154.276","183.588","161.007","191.598","164.374","195.605","https://atelierpro.vortech-x.com/articles/406330/edit"
"67110","Dormant trois rails avec couvre joint arrondie","225.752","268.645","243.091","289.278","251.519","299.308","263.050","313.030","268.817","319.892","https://atelierpro.vortech-x.com/articles/407197/edit"
"67113","Traverse intermédiaire","145.964","173.697","149.437","177.830","154.615","183.992","161.705","192.429","165.250","196.648","https://atelierpro.vortech-x.com/articles/407722/edit"
