"mat-mdc-card-title","text-gray-500"
"Angle de pareclose","Prix Unitaire (HT): 0.27 DT"
"Équerre 40","Prix Unitaire (HT): 2.16 DT"
"Paumelle","Prix Unitaire (HT): 5.94 DT"
"Crémone","Prix Unitaire (HT): 15.876 DT"
"Kit crémone","Prix Unitaire (HT): 7.344 DT"
"Loqueteau","Prix Unitaire (HT): 3.78 DT"
"Verrouillage semi-fixe","Prix Unitaire (HT): 7.02 DT"
"Bouchon 112","Prix Unitaire (HT): 3.132 DT"
"Joint 220","Prix Unitaire (HT): 0.324 DT"
"Joint 242","Prix Unitaire (HT): 0.324 DT"
"Joint 247","Prix Unitaire (HT): 0.324 DT"
"Équerre 67","Prix Unitaire (HT): 1.944 DT"
"Gâche de fermeture","Prix Unitaire (HT): 2.16 DT"
"Fermeture","Prix Unitaire (HT): 10.26 DT"
"Galet","Prix Unitaire (HT): 2.7 DT"
"Kit 67","Prix Unitaire (HT): 4.86 DT"
"Joint plat 0.35","Prix Unitaire (HT): 0.702 DT"
"Vis à six pans 0.38/25","Prix Unitaire (HT): 0.216 DT"
"Bouchon central","Prix Unitaire (HT): 0.378 DT"
"Bouchon latéral","Prix Unitaire (HT): 0.378 DT"
"Serrure montante","Prix Unitaire (HT): 48.6 DT"
"Gâche","Prix Unitaire (HT): 2.7 DT"
"Poignée béquille","Prix Unitaire (HT): 14.58 DT"
"Moteur 40 kg","Prix Unitaire (HT): 70.2 DT"
"Moteur 60 kg","Prix Unitaire (HT): 81 DT"
"Moteur 100 kg","Prix Unitaire (HT): 102.6 DT"
"Moteur 160 kg","Prix Unitaire (HT): 194.4 DT"
"Moteur 250 kg","Prix Unitaire (HT): 237.6 DT"
"Moteur spécial","Prix Unitaire (HT): 302.4 DT"
"Bloc de sécurité type 60","Prix Unitaire (HT): 31.212 DT"
"Bloc de sécurité type 70","Prix Unitaire (HT): 42.012 DT"
"Rallonge axe type 60","Prix Unitaire (HT): 3.24 DT"
"Rallonge axe type 70","Prix Unitaire (HT): 5.94 DT"
"Sangle GM","Prix Unitaire (HT): 2.16 DT"
"Sangle PM","Prix Unitaire (HT): 1.62 DT"
"Bouchon lame 55","Prix Unitaire (HT): 0.216 DT"
"Bouchon lame 45","Prix Unitaire (HT): 0.162 DT"
"Bouchon lame extrudée","Prix Unitaire (HT): 0.378 DT"
"Joint brosse 7/6","Prix Unitaire (HT): 0.378 DT"
"Joint brosse 5/8","Prix Unitaire (HT): 0.378 DT"
