"mat-mdc-card-title","text-gray-500","text-gray-500 2"
"Série 40402","Prix Unitaire: 113.081 DT","Couleur: Blanc"
"Série 40402","Prix Unitaire: 136.74 DT","Couleur: Effet bois"
"Série 40402","Prix Unitaire: 136.74 DT","Couleur: Noir mat"
"Série 40402","Prix Unitaire: 132.38 DT","Couleur: Gris"
"Série 40402","Prix Unitaire: 145.691 DT","Couleur: Gris givré"
"Série 40100","Prix Unitaire: 129.732 DT","Couleur: Gris"
"Série 40100","Prix Unitaire: 134.052 DT","Couleur: Effet bois"
"Série 40100","Prix Unitaire: 110.767 DT","Couleur: Blanc"
"Série 40100","Prix Unitaire: 134.007 DT","Couleur: Noir mat"
"Série 40100","Prix Unitaire: 138.494 DT","Couleur: Gris givré"
"Série 40100","Prix Unitaire: 138.494 DT","Couleur: Noir givré"
"Série 40404","Prix Unitaire: 127.297 DT","Couleur: Blanc"
"Série 40404","Prix Unitaire: 157.346 DT","Couleur: Gris givré"
"Série 40404","Prix Unitaire: 157.346 DT","Couleur: Noir givré"
"Série 40404","Prix Unitaire: 147.679 DT","Couleur: Noir mat"
"Série 40404","Prix Unitaire: 147.679 DT","Couleur: Effet bois"
"Série 40404","Prix Unitaire: 142.97 DT","Couleur: Gris"
"Série 40406","Prix Unitaire: 122.538 DT","Couleur: Blanc"
"Série 40406","Prix Unitaire: 151.347 DT","Couleur: Noir givré"
"Série 40406","Prix Unitaire: 151.347 DT","Couleur: Gris givré"
"Série 40406","Prix Unitaire: 142.05 DT","Couleur: Noir mat"
"Série 40406","Prix Unitaire: 142.05 DT","Couleur: Effet bois"
"Série 40406","Prix Unitaire: 137.52 DT","Couleur: Gris"
"Série 40403","Prix Unitaire: 144.847 DT","Couleur: Blanc"
"Série 40403","Prix Unitaire: 182.102 DT","Couleur: Noir givré"
"Série 40403","Prix Unitaire: 182.102 DT","Couleur: Gris givré"
"Série 40403","Prix Unitaire: 170.383 DT","Couleur: Noir mat"
"Série 40403","Prix Unitaire: 170.383 DT","Couleur: Effet bois"
"Série 40403","Prix Unitaire: 164.673 DT","Couleur: Gris"
"Série 40401","Prix Unitaire: 131.3 DT","Couleur: Blanc"
"Série 40401","Prix Unitaire: 173.431 DT","Couleur: Noir givré"
"Série 40401","Prix Unitaire: 173.431 DT","Couleur: Gris givré"
"Série 40401","Prix Unitaire: 162.269 DT","Couleur: Noir mat"
